driver,model,input_cost_per_token,input_cost_per_cached_token,output_cost_per_token,pricing_source_url
# OpenAI - https://openai.com/api/pricing/
,gpt-5.2,0.00000175,0.000000175,0.000014,https://openai.com/api/pricing/
,gpt-5.2-pro,0.000021,,0.000168,https://openai.com/api/pricing/
,gpt-5.1,0.00000125,0.000000125,0.00001,https://openai.com/api/pricing/
,gpt-5,0.00000125,0.000000125,0.00001,https://openai.com/api/pricing/
,gpt-5-mini,0.00000025,0.000000025,0.000002,https://openai.com/api/pricing/
,gpt-5-nano,0.00000005,0.000000005,0.0000004,https://openai.com/api/pricing/
,gpt-5-pro,0.000015,,0.00012,https://openai.com/api/pricing/
,gpt-4.1,0.000002,0.0000005,0.000008,https://openai.com/api/pricing/
,gpt-4.1-mini,0.0000004,0.0000001,0.0000016,https://openai.com/api/pricing/
,gpt-4.1-nano,0.0000001,0.000000025,0.0000004,https://openai.com/api/pricing/
,gpt-4o,0.0000025,0.00000125,0.00001,https://openai.com/api/pricing/
,gpt-4o-mini,0.00000015,0.000000075,0.0000006,https://openai.com/api/pricing/
,o4-mini,0.0000011,0.000000275,0.0000044,https://openai.com/api/pricing/
,o3,0.000002,0.0000005,0.000008,https://openai.com/api/pricing/
,o3-mini,0.0000011,0.00000055,0.0000044,https://openai.com/api/pricing/
,o3-pro,0.00002,,0.00008,https://openai.com/api/pricing/
,o1,0.000015,0.0000075,0.00006,https://openai.com/api/pricing/
,o1-mini,0.0000011,0.00000055,0.0000044,https://openai.com/api/pricing/
,gpt-4o-2024-05-13,0.000005,,0.000015,https://openai.com/api/pricing/
,gpt-4-turbo-2024-04-09,0.00001,,0.00003,https://openai.com/api/pricing/
,gpt-4-0125-preview,0.00001,,0.00003,https://openai.com/api/pricing/
,gpt-4-1106-preview,0.00001,,0.00003,https://openai.com/api/pricing/
,gpt-4-1106-vision-preview,0.00001,,0.00003,https://openai.com/api/pricing/
,gpt-4-0613,0.00003,,0.00006,https://openai.com/api/pricing/
,gpt-4-0314,0.00003,,0.00006,https://openai.com/api/pricing/
,gpt-4-32k,0.00006,,0.00012,https://openai.com/api/pricing/
,gpt-3.5-turbo,0.0000005,,0.0000015,https://openai.com/api/pricing/
,gpt-3.5-turbo-0125,0.0000005,,0.0000015,https://openai.com/api/pricing/
,gpt-3.5-turbo-1106,0.000001,,0.000002,https://openai.com/api/pricing/
,gpt-3.5-turbo-0613,0.0000015,,0.000002,https://openai.com/api/pricing/
,gpt-3.5-0301,0.0000015,,0.000002,https://openai.com/api/pricing/
,gpt-3.5-turbo-instruct,0.0000015,,0.000002,https://openai.com/api/pricing/
,gpt-3.5-turbo-16k-0613,0.000003,,0.000004,https://openai.com/api/pricing/
,davinci-002,0.000002,,0.000002,https://openai.com/api/pricing/
,babbage-002,0.0000004,,0.0000004,https://openai.com/api/pricing/
